username,repo_name,ratings,repo_url
mrdoob,three.js,95800,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,24500,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22200,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,21700,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,18400,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,16300,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,15800,https://github.com/aframevr/aframe
FreeCAD,FreeCAD,15800,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,11300,https://github.com/CesiumGS/cesium
MonoGame,MonoGame,10300,https://github.com/MonoGame/MonoGame
blender,blender,10200,https://github.com/blender/blender
metafizzy,zdog,10100,https://github.com/metafizzy/zdog
isl-org,Open3D,9800,https://github.com/isl-org/Open3D
timzhang642,3D-Machine-Learning,9200,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7500,https://github.com/a1studmuffin/SpaceshipGenerator
nerfstudio-project,nerfstudio,7100,https://github.com/nerfstudio-project/nerfstudio
domlysz,BlenderGIS,6900,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6800,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6100,https://github.com/google/model-viewer
openscad,openscad,6000,https://github.com/openscad/openscad
