username,repo_name,ratings,repo_url
public-apis,public-apis,270000,https://github.com/public-apis/public-apis
neovim,neovim,71200,https://github.com/neovim/neovim
tiangolo,fastapi,65000,https://github.com/tiangolo/fastapi
strapi,strapi,57400,https://github.com/strapi/strapi
hoppscotch,hoppscotch,56700,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,52000,https://github.com/ocornut/imgui
meilisearch,meilisearch,40000,https://github.com/meilisearch/meilisearch
slatedocs,slate,35600,https://github.com/slatedocs/slate
Kong,insomnia,31200,https://github.com/Kong/insomnia
hasura,graphql-engine,30500,https://github.com/hasura/graphql-engine
httpie,cli,30200,https://github.com/httpie/cli
trpc,trpc,30000,https://github.com/trpc/trpc
ccxt,ccxt,29700,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,29600,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,26700,https://github.com/YMFE/yapi
encode,django-rest-framework,26700,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24400,https://github.com/littlecodersh/ItChat
directus,directus,23800,https://github.com/directus/directus
microsoft,api-guidelines,22100,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21600,https://github.com/shieldfy/API-Security-Checklist
