username,repo_name,ratings,repo_url
flutter,flutter,158000,https://github.com/flutter/flutter
facebook,react-native,113000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,106000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,94400,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,71600,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,49300,https://github.com/Solido/awesome-flutter
google,material-design-icons,49000,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,47900,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44700,https://github.com/square/okhttp
android,architecture-samples,43300,https://github.com/android/architecture-samples
square,retrofit,42200,https://github.com/square/retrofit
laurent22,joplin,39500,https://github.com/laurent22/joplin
dcloudio,uni-app,38800,https://github.com/dcloudio/uni-app
appwrite,appwrite,38100,https://github.com/appwrite/appwrite
fastlane,fastlane,37800,https://github.com/fastlane/fastlane
skylot,jadx,37200,https://github.com/skylot/jadx
PhilJay,MPAndroidChart,37000,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,34400,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,34300,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,34000,https://github.com/bumptech/glide
