username,repo_name,ratings,repo_url
justjavac,free-programming-books-zh_CN,106000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,92400,https://github.com/angular/angular
storybookjs,storybook,81000,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,59800,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,49800,https://github.com/ionic-team/ionic-framework
prettier,prettier,47300,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,39300,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,33900,https://github.com/SheetJS/sheetjs
angular,angular-cli,26400,https://github.com/angular/angular-cli
angular,components,23800,https://github.com/angular/components
NativeScript,NativeScript,23200,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,22600,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,21000,https://github.com/jhipster/generator-jhipster
nrwl,nx,20300,https://github.com/nrwl/nx
pubkey,rxdb,19900,https://github.com/pubkey/rxdb
wailsapp,wails,19300,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,18800,https://github.com/sudheerj/javascript-interview-questions
teambit,bit,17100,https://github.com/teambit/bit
sweetalert2,sweetalert2,16400,https://github.com/sweetalert2/sweetalert2
jasontaylordev,CleanArchitecture,14200,https://github.com/jasontaylordev/CleanArchitecture
