username,repo_name,ratings,repo_url
bregman-arie,devops-exercises,59600,https://github.com/bregman-arie/devops-exercises
ansible,ansible,59300,https://github.com/ansible/ansible
trailofbits,algo,27800,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,24300,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23000,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,14700,https://github.com/kubernetes-sigs/kubespray
ansible,awx,12800,https://github.com/ansible/awx
easzlab,kubeasz,9700,https://github.com/easzlab/kubeasz
ansible-semaphore,semaphore,8400,https://github.com/ansible-semaphore/semaphore
geerlingguy,ansible-for-devops,7700,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7300,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,7300,https://github.com/Tikam02/DevOps-Guide
netbootxyz,netboot.xyz,6000,https://github.com/netbootxyz/netboot.xyz
geerlingguy,mac-dev-playbook,5600,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5100,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4900,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4400,https://github.com/clong/DetectionLab
ansible,molecule,3700,https://github.com/ansible/molecule
opendevops-cn,opendevops,3500,https://github.com/opendevops-cn/opendevops
dev-sec,ansible-collection-hardening,3500,https://github.com/dev-sec/ansible-collection-hardening
