username,repo_name,ratings,repo_url
sindresorhus,awesome,279000,https://github.com/sindresorhus/awesome
vinta,awesome-python,188000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,157000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,113000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,112000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,78300,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,78000,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,71600,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,65200,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,59400,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,59300,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,58700,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,53600,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,51000,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,50300,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,49300,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,49300,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,47900,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,44500,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,43300,https://github.com/tiimgreen/github-cheat-sheet
