username,repo_name,ratings,repo_url
bregman-arie,devops-exercises,59600,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,18300,https://github.com/pulumi/pulumi
recommenders-team,recommenders,16700,https://github.com/recommenders-team/recommenders
microsoft,generative-ai-for-beginners,16600,https://github.com/microsoft/generative-ai-for-beginners
ramitsurana,awesome-kubernetes,14400,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,14200,https://github.com/getsops/sops
Azure,azure-quickstart-templates,13300,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,11300,https://github.com/caprover/caprover
infracost,infracost,9700,https://github.com/infracost/infracost
google,go-cloud,9200,https://github.com/google/go-cloud
microsoft,computervision-recipes,9200,https://github.com/microsoft/computervision-recipes
prowler-cloud,prowler,8800,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7300,https://github.com/microsoft/azuredatastudio
Netflix,metaflow,7200,https://github.com/Netflix/metaflow
midwayjs,midway,7000,https://github.com/midwayjs/midway
node-formidable,formidable,6800,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6500,https://github.com/thangchung/clean-code-dotnet
milanm,DevOps-Roadmap,6500,https://github.com/milanm/DevOps-Roadmap
budtmo,docker-android,6400,https://github.com/budtmo/docker-android
aquasecurity,tfsec,6400,https://github.com/aquasecurity/tfsec
