username,repo_name,ratings,repo_url
jlevy,the-art-of-command-line,141000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,71800,https://github.com/nvm-sh/nvm
junegunn,fzf,55600,https://github.com/junegunn/fzf
google,zx,39100,https://github.com/google/zx
starship,starship,37700,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,35100,https://github.com/LeCoupa/awesome-cheatsheets
dylanaraps,pure-bash-bible,35100,https://github.com/dylanaraps/pure-bash-bible
acmesh-official,acme.sh,33900,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,33700,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,29400,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,29200,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,25700,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,23500,https://github.com/withfig/autocomplete
dylanaraps,neofetch,19300,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,19100,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17800,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,17600,https://github.com/kingToolbox/WindTerm
warpdotdev,Warp,16000,https://github.com/warpdotdev/Warp
rbenv,rbenv,15400,https://github.com/rbenv/rbenv
charmbracelet,gum,15300,https://github.com/charmbracelet/gum
