username,repo_name,ratings,repo_url
ohmyzsh,ohmyzsh,164000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,55600,https://github.com/junegunn/fzf
sherlock-project,sherlock,44500,https://github.com/sherlock-project/sherlock
sharkdp,bat,43900,https://github.com/sharkdp/bat
BurntSushi,ripgrep,41200,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,40300,https://github.com/jesseduffield/lazygit
wagoodman,dive,39500,https://github.com/wagoodman/dive
google,zx,39100,https://github.com/google/zx
chubin,cheat.sh,36400,https://github.com/chubin/cheat.sh
n8n-io,n8n,35300,https://github.com/n8n-io/n8n
spf13,cobra,34200,https://github.com/spf13/cobra
cli,cli,33800,https://github.com/cli/cli
httpie,cli,30200,https://github.com/httpie/cli
sharkdp,fd,29500,https://github.com/sharkdp/fd
alebcay,awesome-shell,29200,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,28600,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27600,https://github.com/acheong08/ChatGPT
angular,angular-cli,26400,https://github.com/angular/angular-cli
tqdm,tqdm,26300,https://github.com/tqdm/tqdm
google,python-fire,25500,https://github.com/google/python-fire
