username,repo_name,ratings,repo_url
vercel,next.js,115000,https://github.com/vercel/next.js
rust-lang,rust,87300,https://github.com/rust-lang/rust
sveltejs,svelte,74000,https://github.com/sveltejs/svelte
webpack,webpack,63700,https://github.com/webpack/webpack
gatsbyjs,gatsby,54800,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,46300,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42800,https://github.com/parcel-bundler/parcel
babel,babel,42600,https://github.com/babel/babel
FuelLabs,sway,36600,https://github.com/FuelLabs/sway
evanw,esbuild,36400,https://github.com/evanw/esbuild
vlang,v,34900,https://github.com/vlang/v
carbon-language,carbon-lang,31600,https://github.com/carbon-language/carbon-lang
markedjs,marked,30900,https://github.com/markedjs/marked
swc-project,swc,29000,https://github.com/swc-project/swc
ziglang,zig,27100,https://github.com/ziglang/zig
vercel,pkg,24000,https://github.com/vercel/pkg
typst,typst,23300,https://github.com/typst/typst
v8,v8,22000,https://github.com/v8/v8
oracle,graal,19200,https://github.com/oracle/graal
AssemblyScript,assemblyscript,16100,https://github.com/AssemblyScript/assemblyscript
